parametros: tamaño poblacion: 100, numero de generaciones: 500
metodo de seleccion de padres: torneo, metodo de cruzamiento: cruce basado en arcos
metodo de mutacion: inversion, seleccion de sobrevivientes: steady-state
probabilidad de cruce: 1, probabilidad de mutacion: 0.1
estancamiento de generaciones: 100
mejor fitness generacion 206: 0.00016852039096730705
mejor fitness generacion 207: 0.00016852039096730705
mejor fitness generacion 208: 0.00016852039096730705
mejor fitness generacion 209: 0.00016852039096730705
mejor fitness generacion 210: 0.00016852039096730705
mejor fitness generacion 211: 0.00016852039096730705
mejor fitness generacion 212: 0.00016852039096730705
mejor fitness generacion 213: 0.00016852039096730705
mejor fitness generacion 214: 0.00016852039096730705
mejor fitness generacion 215: 0.00016852039096730705
mejor fitness generacion 216: 0.00016852039096730705
mejor fitness generacion 217: 0.00016852039096730705
mejor fitness generacion 218: 0.00016852039096730705
mejor fitness generacion 219: 0.00016852039096730705
mejor fitness generacion 220: 0.00016852039096730705
mejor fitness generacion 221: 0.00016852039096730705
mejor fitness generacion 222: 0.00016852039096730705
mejor fitness generacion 223: 0.00016852039096730705
mejor fitness generacion 224: 0.00016852039096730705
mejor fitness generacion 225: 0.00016852039096730705
mejor fitness generacion 226: 0.00016852039096730705
mejor fitness generacion 227: 0.00016852039096730705
mejor fitness generacion 228: 0.00016880486158001352
mejor fitness generacion 229: 0.00016880486158001352
mejor fitness generacion 230: 0.00016880486158001352
mejor fitness generacion 231: 0.00016880486158001352
mejor fitness generacion 232: 0.00016880486158001352
mejor fitness generacion 233: 0.00016880486158001352
mejor fitness generacion 234: 0.00016880486158001352
mejor fitness generacion 235: 0.00016880486158001352
mejor fitness generacion 236: 0.00016880486158001352
mejor fitness generacion 237: 0.00016880486158001352
mejor fitness generacion 238: 0.00016880486158001352
mejor fitness generacion 239: 0.00016880486158001352
mejor fitness generacion 240: 0.00016880486158001352
mejor fitness generacion 241: 0.00016880486158001352
mejor fitness generacion 242: 0.00016880486158001352
mejor fitness generacion 243: 0.00016880486158001352
mejor fitness generacion 244: 0.00016880486158001352
mejor fitness generacion 245: 0.00016880486158001352
mejor fitness generacion 246: 0.00016880486158001352
mejor fitness generacion 247: 0.00016880486158001352
mejor fitness generacion 248: 0.00016880486158001352
mejor fitness generacion 249: 0.00016880486158001352
mejor fitness generacion 250: 0.00016880486158001352
mejor fitness generacion 251: 0.00016880486158001352
mejor fitness generacion 252: 0.00016880486158001352
mejor fitness generacion 253: 0.00016880486158001352
mejor fitness generacion 254: 0.00016880486158001352
mejor fitness generacion 255: 0.00016880486158001352
mejor fitness generacion 256: 0.00016880486158001352
mejor fitness generacion 257: 0.00016880486158001352
mejor fitness generacion 258: 0.00016880486158001352
mejor fitness generacion 259: 0.00016880486158001352
mejor fitness generacion 260: 0.00016880486158001352
mejor fitness generacion 261: 0.00016880486158001352
mejor fitness generacion 262: 0.00016880486158001352
mejor fitness generacion 263: 0.00016880486158001352
mejor fitness generacion 264: 0.00016880486158001352
mejor fitness generacion 265: 0.00016880486158001352
mejor fitness generacion 266: 0.00016880486158001352
mejor fitness generacion 267: 0.00016880486158001352
mejor fitness generacion 268: 0.00016880486158001352
mejor fitness generacion 269: 0.00016880486158001352
mejor fitness generacion 270: 0.00016880486158001352
mejor fitness generacion 271: 0.00016880486158001352
mejor fitness generacion 272: 0.00016894745734076703
mejor fitness generacion 273: 0.00016894745734076703
mejor fitness generacion 274: 0.00016894745734076703
mejor fitness generacion 275: 0.00016894745734076703
mejor fitness generacion 276: 0.00016894745734076703
mejor fitness generacion 277: 0.00016894745734076703
mejor fitness generacion 278: 0.00016894745734076703
mejor fitness generacion 279: 0.00016894745734076703
mejor fitness generacion 280: 0.00016894745734076703
mejor fitness generacion 281: 0.00016894745734076703
mejor fitness generacion 282: 0.00016894745734076703
mejor fitness generacion 283: 0.00016894745734076703
mejor fitness generacion 284: 0.00016894745734076703
mejor fitness generacion 285: 0.00016894745734076703
mejor fitness generacion 286: 0.00016931933626820184
mejor fitness generacion 287: 0.00016931933626820184
mejor fitness generacion 288: 0.00016931933626820184
mejor fitness generacion 289: 0.00016931933626820184
mejor fitness generacion 290: 0.00016931933626820184
mejor fitness generacion 291: 0.00016931933626820184
mejor fitness generacion 292: 0.00016931933626820184
mejor fitness generacion 293: 0.00016931933626820184
mejor fitness generacion 294: 0.00016931933626820184
mejor fitness generacion 295: 0.00016931933626820184
mejor fitness generacion 296: 0.00016931933626820184
mejor fitness generacion 297: 0.00016931933626820184
mejor fitness generacion 298: 0.00016931933626820184
mejor fitness generacion 299: 0.00016931933626820184
mejor fitness generacion 300: 0.00016931933626820184
mejor fitness generacion 301: 0.00016931933626820184
mejor fitness generacion 302: 0.00016931933626820184
mejor fitness generacion 303: 0.00016931933626820184
