parametros: tamaño poblacion: 200, numero de generaciones: 1000
metodo de seleccion de padres: rueda de ruleta, metodo de cruzamiento: cruce basado en un punto
metodo de mutacion: inversion, seleccion de sobrevivientes: elitismo
probabilidad de cruce: 1, probabilidad de mutacion: 0.2
estancamiento de generaciones: 100
mejor fitness generacion 188: 0.010752688172043012
mejor fitness generacion 189: 0.010752688172043012
mejor fitness generacion 190: 0.010752688172043012
mejor fitness generacion 191: 0.010752688172043012
mejor fitness generacion 192: 0.010752688172043012
mejor fitness generacion 193: 0.010752688172043012
mejor fitness generacion 194: 0.010752688172043012
mejor fitness generacion 195: 0.010752688172043012
mejor fitness generacion 196: 0.010752688172043012
mejor fitness generacion 197: 0.010752688172043012
mejor fitness generacion 198: 0.010752688172043012
mejor fitness generacion 199: 0.010752688172043012
mejor fitness generacion 200: 0.010752688172043012
mejor fitness generacion 201: 0.010752688172043012
mejor fitness generacion 202: 0.010752688172043012
mejor fitness generacion 203: 0.010752688172043012
mejor fitness generacion 204: 0.010752688172043012
mejor fitness generacion 205: 0.010752688172043012
mejor fitness generacion 206: 0.010752688172043012
mejor fitness generacion 207: 0.010752688172043012
mejor fitness generacion 208: 0.010752688172043012
mejor fitness generacion 209: 0.010752688172043012
mejor fitness generacion 210: 0.010752688172043012
mejor fitness generacion 211: 0.010752688172043012
mejor fitness generacion 212: 0.010752688172043012
mejor fitness generacion 213: 0.010752688172043012
mejor fitness generacion 214: 0.010752688172043012
mejor fitness generacion 215: 0.010752688172043012
mejor fitness generacion 216: 0.010752688172043012
mejor fitness generacion 217: 0.010752688172043012
mejor fitness generacion 218: 0.010752688172043012
mejor fitness generacion 219: 0.010752688172043012
mejor fitness generacion 220: 0.010752688172043012
mejor fitness generacion 221: 0.010752688172043012
mejor fitness generacion 222: 0.010752688172043012
mejor fitness generacion 223: 0.010752688172043012
mejor fitness generacion 224: 0.010752688172043012
mejor fitness generacion 225: 0.010752688172043012
mejor fitness generacion 226: 0.010752688172043012
mejor fitness generacion 227: 0.010752688172043012
mejor fitness generacion 228: 0.010752688172043012
mejor fitness generacion 229: 0.010752688172043012
mejor fitness generacion 230: 0.010752688172043012
mejor fitness generacion 231: 0.010752688172043012
mejor fitness generacion 232: 0.010752688172043012
mejor fitness generacion 233: 0.010752688172043012
mejor fitness generacion 234: 0.010752688172043012
mejor fitness generacion 235: 0.010752688172043012
mejor fitness generacion 236: 0.010752688172043012
mejor fitness generacion 237: 0.010752688172043012
mejor fitness generacion 238: 0.010752688172043012
mejor fitness generacion 239: 0.010752688172043012
mejor fitness generacion 240: 0.010752688172043012
mejor fitness generacion 241: 0.010752688172043012
mejor fitness generacion 242: 0.010752688172043012
mejor fitness generacion 243: 0.010752688172043012
mejor fitness generacion 244: 0.010752688172043012
mejor fitness generacion 245: 0.010752688172043012
mejor fitness generacion 246: 0.010752688172043012
mejor fitness generacion 247: 0.010752688172043012
mejor fitness generacion 248: 0.010752688172043012
mejor fitness generacion 249: 0.010752688172043012
mejor fitness generacion 250: 0.010752688172043012
mejor fitness generacion 251: 0.010752688172043012
mejor fitness generacion 252: 0.010752688172043012
mejor fitness generacion 253: 0.010752688172043012
mejor fitness generacion 254: 0.010752688172043012
mejor fitness generacion 255: 0.010752688172043012
mejor fitness generacion 256: 0.010752688172043012
mejor fitness generacion 257: 0.010752688172043012
mejor fitness generacion 258: 0.010752688172043012
mejor fitness generacion 259: 0.010752688172043012
mejor fitness generacion 260: 0.010752688172043012
mejor fitness generacion 261: 0.010752688172043012
mejor fitness generacion 262: 0.010752688172043012
mejor fitness generacion 263: 0.010752688172043012
mejor fitness generacion 264: 0.010752688172043012
mejor fitness generacion 265: 0.010752688172043012
mejor fitness generacion 266: 0.010752688172043012
mejor fitness generacion 267: 0.010752688172043012
mejor fitness generacion 268: 0.010752688172043012
mejor fitness generacion 269: 0.010752688172043012
mejor fitness generacion 270: 0.010752688172043012
mejor fitness generacion 271: 0.010752688172043012
mejor fitness generacion 272: 0.010752688172043012
mejor fitness generacion 273: 0.010752688172043012
mejor fitness generacion 274: 0.010752688172043012
mejor fitness generacion 275: 0.010752688172043012
mejor fitness generacion 276: 0.010752688172043012
mejor fitness generacion 277: 0.010752688172043012
mejor fitness generacion 278: 0.010752688172043012
mejor fitness generacion 279: 0.010752688172043012
mejor fitness generacion 280: 0.010752688172043012
mejor fitness generacion 281: 0.010752688172043012
mejor fitness generacion 282: 0.010752688172043012
mejor fitness generacion 283: 0.010752688172043012
mejor fitness generacion 284: 0.010752688172043012
mejor fitness generacion 285: 0.010752688172043012
mejor fitness generacion 286: 0.010752688172043012
mejor fitness generacion 287: 0.010752688172043012
mejor fitness generacion 288: 0.010752688172043012
mejor fitness generacion 289: 0.010752688172043012
mejor fitness generacion 290: 0.010752688172043012
mejor fitness generacion 291: 0.010752688172043012
mejor fitness generacion 292: 0.010752688172043012
mejor fitness generacion 293: 0.010752688172043012
mejor fitness generacion 294: 0.010752688172043012
mejor fitness generacion 295: 0.010752688172043012
mejor fitness generacion 296: 0.010752688172043012
