parametros: tamaño poblacion: 100, numero de generaciones: 500
metodo de seleccion de padres: torneo, metodo de cruzamiento: cruce basado en arcos
metodo de mutacion: intercambio, seleccion de sobrevivientes: steady-state
probabilidad de cruce: 1, probabilidad de mutacion: 0.1
estancamiento de generaciones: 100
mejor fitness generacion 39: 0.011494252873563218
mejor fitness generacion 40: 0.011494252873563218
mejor fitness generacion 41: 0.011494252873563218
mejor fitness generacion 42: 0.011494252873563218
mejor fitness generacion 43: 0.011494252873563218
mejor fitness generacion 44: 0.011494252873563218
mejor fitness generacion 45: 0.011494252873563218
mejor fitness generacion 46: 0.011494252873563218
mejor fitness generacion 47: 0.011494252873563218
mejor fitness generacion 48: 0.011494252873563218
mejor fitness generacion 49: 0.011494252873563218
mejor fitness generacion 50: 0.011494252873563218
mejor fitness generacion 51: 0.011494252873563218
mejor fitness generacion 52: 0.011494252873563218
mejor fitness generacion 53: 0.011494252873563218
mejor fitness generacion 54: 0.011494252873563218
mejor fitness generacion 55: 0.011494252873563218
mejor fitness generacion 56: 0.011494252873563218
mejor fitness generacion 57: 0.011494252873563218
mejor fitness generacion 58: 0.011494252873563218
mejor fitness generacion 59: 0.011494252873563218
mejor fitness generacion 60: 0.011494252873563218
mejor fitness generacion 61: 0.011494252873563218
mejor fitness generacion 62: 0.011494252873563218
mejor fitness generacion 63: 0.011494252873563218
mejor fitness generacion 64: 0.011494252873563218
mejor fitness generacion 65: 0.011494252873563218
mejor fitness generacion 66: 0.011494252873563218
mejor fitness generacion 67: 0.011494252873563218
mejor fitness generacion 68: 0.011494252873563218
mejor fitness generacion 69: 0.011494252873563218
mejor fitness generacion 70: 0.011494252873563218
mejor fitness generacion 71: 0.011494252873563218
mejor fitness generacion 72: 0.011494252873563218
mejor fitness generacion 73: 0.011494252873563218
mejor fitness generacion 74: 0.011494252873563218
mejor fitness generacion 75: 0.011494252873563218
mejor fitness generacion 76: 0.011494252873563218
mejor fitness generacion 77: 0.011494252873563218
mejor fitness generacion 78: 0.011494252873563218
mejor fitness generacion 79: 0.011494252873563218
mejor fitness generacion 80: 0.011494252873563218
mejor fitness generacion 81: 0.011494252873563218
mejor fitness generacion 82: 0.011494252873563218
mejor fitness generacion 83: 0.011494252873563218
mejor fitness generacion 84: 0.011494252873563218
mejor fitness generacion 85: 0.011494252873563218
mejor fitness generacion 86: 0.011494252873563218
mejor fitness generacion 87: 0.011494252873563218
mejor fitness generacion 88: 0.011494252873563218
mejor fitness generacion 89: 0.011494252873563218
mejor fitness generacion 90: 0.011494252873563218
mejor fitness generacion 91: 0.011494252873563218
mejor fitness generacion 92: 0.011494252873563218
mejor fitness generacion 93: 0.011494252873563218
mejor fitness generacion 94: 0.011494252873563218
mejor fitness generacion 95: 0.011494252873563218
mejor fitness generacion 96: 0.011494252873563218
mejor fitness generacion 97: 0.011494252873563218
mejor fitness generacion 98: 0.011494252873563218
mejor fitness generacion 99: 0.011494252873563218
mejor fitness generacion 100: 0.011494252873563218
mejor fitness generacion 101: 0.011494252873563218
mejor fitness generacion 102: 0.011494252873563218
mejor fitness generacion 103: 0.011494252873563218
mejor fitness generacion 104: 0.011494252873563218
mejor fitness generacion 105: 0.011494252873563218
mejor fitness generacion 106: 0.011494252873563218
mejor fitness generacion 107: 0.011494252873563218
mejor fitness generacion 108: 0.011494252873563218
mejor fitness generacion 109: 0.011494252873563218
mejor fitness generacion 110: 0.011494252873563218
mejor fitness generacion 111: 0.011494252873563218
mejor fitness generacion 112: 0.011494252873563218
mejor fitness generacion 113: 0.011494252873563218
mejor fitness generacion 114: 0.011494252873563218
mejor fitness generacion 115: 0.011494252873563218
mejor fitness generacion 116: 0.011494252873563218
mejor fitness generacion 117: 0.011494252873563218
mejor fitness generacion 118: 0.011494252873563218
mejor fitness generacion 119: 0.011494252873563218
mejor fitness generacion 120: 0.011494252873563218
mejor fitness generacion 121: 0.011494252873563218
mejor fitness generacion 122: 0.011494252873563218
mejor fitness generacion 123: 0.011494252873563218
mejor fitness generacion 124: 0.011494252873563218
mejor fitness generacion 125: 0.011494252873563218
mejor fitness generacion 126: 0.011494252873563218
mejor fitness generacion 127: 0.011494252873563218
mejor fitness generacion 128: 0.011494252873563218
mejor fitness generacion 129: 0.011494252873563218
mejor fitness generacion 130: 0.011494252873563218
mejor fitness generacion 131: 0.011494252873563218
mejor fitness generacion 132: 0.011494252873563218
mejor fitness generacion 133: 0.011494252873563218
mejor fitness generacion 134: 0.011494252873563218
mejor solucion: [11, 10, 13, 12, 2, 1, 0, 8, 15, 16, 14, 3, 5, 4, 6, 7, 9]
fitness de la mejor solucion: 0.011494252873563218
tiempo de ejecucion: 16.088285446166992
costo_viaje: 87.0
