parametros: tamaño poblacion: 100, numero de generaciones: 500
metodo de seleccion de padres: Torneo, metodo de cruzamiento: Cruce basado en arcos
metodo de mutacion: Intercambio, seleccion de sobrevivientes: Steady-state
probabilidad de cruce: 1.0, probabilidad de mutacion: 0.1
estancamiento de generaciones: 100
mejor fitness generacion 40: 0.00016874789065136686
mejor fitness generacion 41: 0.00016874789065136686
mejor fitness generacion 42: 0.00016874789065136686
mejor fitness generacion 43: 0.00016874789065136686
mejor fitness generacion 44: 0.00016874789065136686
mejor fitness generacion 45: 0.00016874789065136686
mejor fitness generacion 46: 0.00016874789065136686
mejor fitness generacion 47: 0.00016874789065136686
mejor fitness generacion 48: 0.00016874789065136686
mejor fitness generacion 49: 0.00016874789065136686
mejor fitness generacion 50: 0.00016874789065136686
mejor fitness generacion 51: 0.00016874789065136686
mejor fitness generacion 52: 0.00016874789065136686
mejor fitness generacion 53: 0.00016874789065136686
mejor fitness generacion 54: 0.00016874789065136686
mejor fitness generacion 55: 0.00016874789065136686
mejor fitness generacion 56: 0.00016874789065136686
mejor fitness generacion 57: 0.00016874789065136686
mejor fitness generacion 58: 0.00016874789065136686
mejor fitness generacion 59: 0.00016874789065136686
mejor fitness generacion 60: 0.00016874789065136686
mejor fitness generacion 61: 0.00016874789065136686
mejor fitness generacion 62: 0.00016874789065136686
mejor fitness generacion 63: 0.00016874789065136686
mejor fitness generacion 64: 0.00016874789065136686
mejor fitness generacion 65: 0.00016874789065136686
mejor fitness generacion 66: 0.00016874789065136686
mejor fitness generacion 67: 0.00016874789065136686
mejor fitness generacion 68: 0.00016874789065136686
mejor fitness generacion 69: 0.00016874789065136686
mejor fitness generacion 70: 0.00016874789065136686
mejor fitness generacion 71: 0.00016874789065136686
mejor fitness generacion 72: 0.00016874789065136686
mejor fitness generacion 73: 0.00016874789065136686
mejor fitness generacion 74: 0.00016874789065136686
mejor fitness generacion 75: 0.00016874789065136686
mejor fitness generacion 76: 0.00016874789065136686
mejor fitness generacion 77: 0.00016874789065136686
mejor fitness generacion 78: 0.00016874789065136686
mejor fitness generacion 79: 0.00016874789065136686
mejor fitness generacion 80: 0.00016874789065136686
mejor fitness generacion 81: 0.00016874789065136686
mejor fitness generacion 82: 0.00016874789065136686
mejor fitness generacion 83: 0.00016874789065136686
mejor fitness generacion 84: 0.00016874789065136686
mejor fitness generacion 85: 0.00016874789065136686
mejor fitness generacion 86: 0.00016874789065136686
mejor fitness generacion 87: 0.00016874789065136686
mejor fitness generacion 88: 0.00016874789065136686
mejor fitness generacion 89: 0.00016874789065136686
mejor fitness generacion 90: 0.00016874789065136686
mejor fitness generacion 91: 0.00016874789065136686
mejor fitness generacion 92: 0.00016874789065136686
mejor fitness generacion 93: 0.00016874789065136686
mejor fitness generacion 94: 0.00016874789065136686
mejor fitness generacion 95: 0.00016874789065136686
mejor fitness generacion 96: 0.00016874789065136686
mejor fitness generacion 97: 0.00016874789065136686
mejor fitness generacion 98: 0.00016874789065136686
mejor fitness generacion 99: 0.00016874789065136686
mejor fitness generacion 100: 0.00016874789065136686
mejor fitness generacion 101: 0.00016874789065136686
mejor fitness generacion 102: 0.00016874789065136686
mejor fitness generacion 103: 0.00016874789065136686
mejor fitness generacion 104: 0.00016874789065136686
mejor fitness generacion 105: 0.00016874789065136686
mejor fitness generacion 106: 0.00016874789065136686
mejor fitness generacion 107: 0.00016874789065136686
mejor fitness generacion 108: 0.00016874789065136686
mejor fitness generacion 109: 0.00016874789065136686
mejor solucion: {30: 28, 28: 29, 29: 27, 27: 26, 26: 25, 25: 23, 23: 24, 24: 22, 22: 21, 21: 0, 0: 35, 35: 36, 36: 37, 37: 40, 40: 38, 38: 41, 41: 39, 39: 42, 42: 20, 20: 17, 17: 19, 19: 16, 16: 18, 18: 15, 15: 14, 14: 11, 11: 13, 13: 10, 10: 12, 12: 9, 9: 7, 7: 8, 8: 6, 6: 3, 3: 5, 5: 2, 2: 4, 4: 1, 1: 34, 34: 32, 32: 33, 33: 31, 31: 30}
fitness de la mejor solucion: 0.00016874789065136686
tiempo de ejecucion: 88.4230010509491
